English,Bangla,Marma
Why are you late?,তোমার দেরী হল কেন?,আস্যা নাং ক্রাফালে?
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,আওকং প্যাংহো কিজু সমস্যা হীরে
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,কো ইংসা গো ইউব তখুমসা প্র
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,য়াসু ঙাগো আমা
Do you smoke?,তুমি কি ধুমপান কর,নাং সউতে ল?
Can I eat this?,আমি কি এটা খেতে পারি?,চা ইচা ঙা ন্হেং হোলঃ?
They stopped talking,তাদের কথা বলা বন্ধ,তুংব্যা মা চ্গা য়াসু
You're so smart,আপনি খুব স্মার্ট,কো পইংঞাস্যাং আ্মা
His wife is Indian.,তার স্ত্রী ভারতীয়,য়াসু সংসা খংড ম্যা
I am trying to sleep.,আমি ঘুমানোর চেষ্টা করছি,ঙা ওইম্কেংরে
His house is very tall.,তার বাড়ি অনেক লম্বা,য়াসু এরমা ইং আহ্রি
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,আমা স্দি ফ্রোরাহু
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,ইয়াস্রু নহইয়ক চুং চাখ্যা ছ্ড়া
The house is very small.,বাড়িটা খুব ছোট,ইং অফওয়াশে এরমা
I can run.,আমি চালাতে সক্ষম,ঙা সালে ন্হেং
Are you serious?,তুমি কি সিরিয়াস?,আম্হেং ল?
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে
We cook every day,আমরা প্রতিদিন রান্না করি,ঙো খ্যাক্ তে
See you tomorrow,আগামীকাল দেখা হবে,ফ্রেং ন্হাক্ আতুই ক্যামে
This decision is final,এই সিদ্ধান্ত চূড়ান্ত,ইচা চা্গা আটুং
I am trying to sleep.,আমি ঘুমানোর চেষ্টা করছি,ঙা ওইম্কেংরে
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,ছেংবাং আস্যা ল্হেংরে লে?
Can you read this book?,আপনি এই বই পড়তে পারেন,কো চা্উ ফেন্হেং মি
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,মা আডে নারেলে
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,ইচা আ্ত্যগ্ আ্কং ত্খোঃ
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,নাং ইংচা তেংহো ল
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,নাগ সায়াচা ব্রা্গলে?
She was alone.,তিনি একা ছিলেন,য়াঃসু খ্যাং নুং হিঃরেলেয়
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,ঙো আমা স্দি
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা আটুই খেং নহেং হোলে?
He goes to school.,সে স্কুলে যায়,য়াসু লারে
Are you serious?,তুমি কি সিরিয়াস?,আম্হেং ল?
Can you read this book?,আপনি এই বই পড়তে পারেন,ই কো চা্উ ফেন্হেং মি
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,ইচা ম্ক্যুং ন্হেং
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু আ্ফা ম্রাং ররেখে রে
Did he come by bus or train?,সে কি বাসে এসেছে নাকি ট্রেনে?,বাস মা ল ট্রন মা ল?
Have a good time.,একটি ভাল সময় আছে,আকং আখ্যিং হিরে
This story is true,এই গল্প সত্য,ইচা আ্কং
I am busy with my homework.,আমি আমার বাড়ির কাজ নিয়ে ব্যস্ত,আলুমা ইংমা ঙা অ্গো
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,ইয়াস্রু নহইয়ক চুং অকং চাখ্যা
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ব্যালঃ আগো লা ন্হেং হো ঙো
Can I eat this?,আমি কি এটা খেতে পারি?,ঙা ইচা চা ন্হেং
I am lost,আমি হারিয়ে গিয়েছি।,ঙা প্তগক
Have you finished?,তুমি কি শেষ করেছ?,টুংব্যা নাঃমা ল?
When was he born?,সে কখন জন্মেছিল?,য়াসু মুইংরে লে?
Have a good time.,একটি ভাল সময় আছে,হিরে আকং আখ্যিং ট্খু্ক
What was the word for?,শব্দটা কিসের ছিল?,য়াচা আ্চা আ্সেং
There was no one there,সেখানে কেউ ছিল না,য়াদে ত্যক্পাং
Why did you leave?,তুমি কেন ছেড়ে দিলে,আস্যা নাং ফ্রুল টিলে?
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,কো প্র ইংসা গো ইউব তখুমসা রো
